COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng,SHAPE_Area,elec_stat_2020,elecgene_pp_2020
Iceland,IS,Iceland,IS,58.77771983,19.57357101,19.1,52091
Norway,NO,Norway,NO,295.0152146,59.93964341,154.2,28663
Qatar,QA,Qatar,QA,4.789811117,0.994812396,49.3,17860
Kuwait,KW,Kuwait,KW,7.548768227,1.55508511,74.8,17154
Canada,CA,Canada,CA,2210.684826,1694.02524,649.1,17132
Sweden,SE,Sweden,SE,92.18592833,78.56860401,163.8,15797
United Arab Emirates,AE,United Arab Emirates,AE,16.75967636,6.239850177,137.3,14784
United States,US,United States,US,726.1060557,1116.670604,4284.8,12755
Finland,FI,Finland,FI,69.12609419,62.65498465,70.1,12678
South Korea,KR,"Korea, Republic of",KR,28.3332677,9.76687713,575.3,11097
Australia,AU,Australia,AU,252.1652377,695.5399244,265.2,10331
Saudi Arabia,SA,Saudi Arabia,SA,68.27670582,171.2822725,338,9390
Singapore,SG,Singapore,SG,0.858102626,0.044787973,53.1,8985
New Zealand,NZ,New Zealand,NZ,80.33212095,29.17423871,44.5,8792
Oman,OM,Oman,OM,32.3352139,26.76091448,38,8364
Israel,IL,Israel,IL,10.78080234,1.964363116,72.3,8256
Austria,AT,Austria,AT,22.0679371,10.03944069,72.6,8150
Switzerland,CH,Switzerland,CH,15.53152262,4.889276612,70.2,8126
France,FR,France,FR,65.84704267,64.3483245,523.7,8122
